77926.42599, 3,  -0.740,  3.025,  8.502, 4,   0.017, -0.068, -0.117, 5,  19.800,-63.150,-148.050,huangy-incar01
77926.48631, 3,  -0.515,  2.932,  8.790, 4,   0.117,  0.078, -0.215, 5,  20.850,-63.450,-146.250,huangy-incar01
77926.54664, 3,   0.134,  2.424,  6.342, 4,  -0.152, -0.319,  0.075, 5,  19.200,-63.300,-145.650,huangy-incar01
77926.60697, 3,  -1.329,  3.303,  6.249, 4,   0.186, -0.261, -0.163, 5,  18.000,-63.900,-146.700,huangy-incar01
77926.66730, 3,  -0.613,  3.734,  7.192, 4,   0.179, -0.111, -0.209, 5,  18.300,-62.400,-145.500,huangy-incar01
77926.72764, 3,  -2.309,  4.627, 10.114, 4,   0.174, -0.001, -0.047, 5,  17.550,-62.100,-147.150,huangy-incar01
77926.78796, 3,  -0.723,  4.962, 11.259, 4,  -0.186,  0.003,  0.090, 5,  18.450,-64.050,-147.300,huangy-incar01
77926.84831, 3,  -2.991,  5.113,  9.724, 4,  -0.203, -0.084,  0.173, 5,  17.400,-63.750,-146.550,huangy-incar01
77926.90863, 3,  -1.566,  3.731, 13.407, 4,  -0.169,  0.349, -0.136, 5,  17.550,-63.450,-146.700,huangy-incar01
77926.96896, 3,  -3.363,  3.257,  7.108, 4,  -0.244,  0.313,  0.302, 5,  18.300,-64.200,-146.250,huangy-incar01
77927.02929, 3,  -1.116,  2.979,  8.272, 4,   0.018,  0.215,  0.381, 5,  18.150,-64.350,-146.550,huangy-incar01
77927.08962, 3,   0.587,  2.745,  7.633, 4,  -0.733,  0.033,  0.785, 5,  19.050,-62.700,-145.950,huangy-incar01
77927.14995, 3,  -1.231,  3.822,  5.006, 4,   0.396,  0.127,  0.123, 5,  20.550,-63.450,-146.250,huangy-incar01
77927.21028, 3,  -1.018,  4.141,  7.434, 4,   0.369,  0.037,  0.049, 5,  18.900,-64.350,-145.650,huangy-incar01
77927.27061, 3,  -0.057,  4.670, 10.814, 4,  -0.276, -0.061,  0.138, 5,  18.900,-64.350,-145.200,huangy-incar01
77927.33094, 3,  -1.777,  6.371, 10.864, 4,  -0.247, -0.228, -0.000, 5,  18.000,-64.200,-146.250,huangy-incar01
77927.39127, 3,  -1.300,  5.542, 11.673, 4,   0.147, -0.203, -0.507, 5,  17.400,-63.300,-144.750,huangy-incar01
77927.45161, 3,  -0.774,  4.658,  9.070, 4,   0.509, -0.282, -0.413, 5,  16.050,-65.100,-146.100,huangy-incar01
77927.51193, 3,   0.414,  3.832,  9.494, 4,   0.502,  0.165, -0.306, 5,  16.050,-66.150,-145.200,huangy-incar01
77927.57226, 3,  -0.548,  3.458,  7.159, 4,   0.157,  0.022, -0.135, 5,  18.300,-66.450,-145.050,huangy-incar01
77927.63259, 3,   0.022,  2.749,  8.907, 4,  -0.331,  0.011, -0.133, 5,  15.600,-66.600,-145.650,huangy-incar01
77927.69292, 3,  -0.457,  3.190,  5.578, 4,  -0.446, -0.296,  0.062, 5,  16.500,-64.950,-144.600,huangy-incar01
77927.75325, 3,  -0.776,  3.892,  6.864, 4,   0.188, -0.115, -0.395, 5,  16.650,-65.550,-142.650,huangy-incar01
77927.81357, 3,  -0.989,  4.316,  7.769, 4,  -0.098, -0.241, -0.172, 5,  14.400,-66.000,-144.600,huangy-incar01
77927.87390, 3,  -1.518,  4.958,  9.901, 4,  -0.024, -0.072, -0.007, 5,  15.150,-65.250,-144.600,huangy-incar01
77927.93422, 3,  -0.956,  5.662, 11.326, 4,  -0.111,  0.064,  0.039, 5,  13.350,-66.450,-145.500,huangy-incar01
77927.99455, 3,  -2.783,  5.307, 11.046, 4,   0.001,  0.137, -0.110, 5,  13.650,-66.000,-145.500,huangy-incar01
77928.05487, 3,  -1.356,  3.909, 11.094, 4,   0.182,  0.340, -0.250, 5,  14.700,-64.950,-145.500,huangy-incar01
77928.11519, 3,  -2.553,  3.219,  7.777, 4,   0.330,  0.359,  0.255, 5,  15.450,-66.450,-144.150,huangy-incar01
77928.17552, 3,  -0.699,  3.140,  7.968, 4,  -0.045,  0.281,  0.224, 5,  17.250,-67.200,-144.600,huangy-incar01
