77925.03846, 3,  -1.554,  4.486,  8.045, 4,   0.257, -0.066,  0.026, 5,  14.250,-56.850,-153.300,huangy-incar01
77925.05857, 3,  -0.855,  4.136, 10.081,huangy-incar01
77925.07868, 3,  -0.438,  3.890, 11.374,huangy-incar01
77925.09879, 3,  -1.008,  3.930, 11.012, 4,  -0.596,  0.147,  0.250, 5,  13.950,-57.000,-151.350,huangy-incar01
77925.11890, 3,  -1.557,  4.294, 10.663,huangy-incar01
77925.13900, 3,  -0.848,  4.282, 10.979,huangy-incar01
77925.15911, 3,   0.386,  3.846, 10.586, 4,  -0.479,  0.153,  0.021, 5,  15.600,-56.850,-152.850,huangy-incar01
77925.17922, 3,   0.946,  3.391,  9.027,huangy-incar01
77925.19933, 3,   0.802,  3.322,  7.501,huangy-incar01
77925.21945, 3,   0.247,  3.439,  7.192, 4,   0.321,  0.143,  0.184, 5,  16.950,-55.800,-152.700,huangy-incar01
77925.23956, 3,  -0.079,  3.370,  7.475,huangy-incar01
77925.25967, 3,  -0.558,  3.135,  7.669,huangy-incar01
77925.27978, 3,  -1.080,  3.140,  8.031, 4,   0.247, -0.010,  0.098, 5,  17.100,-57.150,-151.950,huangy-incar01
77925.29989, 3,  -1.047,  3.154,  8.854,huangy-incar01
77925.32000, 3,  -0.450,  3.018,  9.683,huangy-incar01
77925.34010, 3,   0.266,  2.936,  9.547, 4,  -0.498, -0.118,  0.324, 5,  15.450,-55.800,-152.250,huangy-incar01
77925.36021, 3,   0.213,  3.027,  8.335,huangy-incar01
77925.38032, 3,  -0.364,  3.480,  6.881,huangy-incar01
77925.40044, 3,  -0.742,  3.978,  6.052, 4,  -0.283, -0.259,  0.325, 5,  16.200,-55.800,-151.350,huangy-incar01
77925.42055, 3,  -1.001,  4.249,  6.131,huangy-incar01
77925.44066, 3,  -1.267,  4.347,  6.826,huangy-incar01
77925.46077, 3,  -1.198,  4.412,  7.793, 4,   0.198, -0.064, -0.016, 5,  16.500,-57.300,-151.350,huangy-incar01
77925.48088, 3,  -0.977,  4.311,  8.785,huangy-incar01
77925.50099, 3,  -0.913,  4.306,  9.278,huangy-incar01
77925.52109, 3,  -0.810,  4.507,  9.441, 4,  -0.209, -0.040,  0.149, 5,  16.050,-56.400,-150.750,huangy-incar01
77925.54120, 3,  -0.824,  4.654, 10.016,huangy-incar01
77925.56131, 3,  -0.750,  4.716, 10.617,huangy-incar01
77925.58142, 3,  -0.433,  4.716, 10.361, 4,  -0.134,  0.078,  0.265, 5,  17.100,-54.900,-151.200,huangy-incar01
77925.60153, 3,  -0.225,  4.826, 10.131,huangy-incar01
77925.62164, 3,  -0.572,  4.747, 10.545,huangy-incar01
77925.64175, 3,  -1.387,  4.886, 11.312, 4,  -0.016,  0.072,  0.288, 5,  15.750,-55.800,-150.600,huangy-incar01
77925.66186, 3,  -1.962,  4.898, 11.288,huangy-incar01
77925.68197, 3,  -2.371,  4.642, 10.521,huangy-incar01
77925.70208, 3,  -2.960,  4.419,  9.518, 4,   0.252,  0.243, -0.004, 5,  16.200,-57.750,-150.900,huangy-incar01
77925.72219, 3,  -3.293,  3.942,  8.294,huangy-incar01
77925.74229, 3,  -2.627,  3.444,  8.416,huangy-incar01
77925.76240, 3,  -1.492,  3.066, 10.287, 4,   0.537,  0.453,  0.077, 5,  18.000,-58.800,-151.350,huangy-incar01
77925.78251, 3,  -0.522,  2.694, 11.455,huangy-incar01
77925.80262, 3,  -0.263,  2.402, 10.620,huangy-incar01
77925.82272, 3,  -1.600,  2.270,  9.384, 4,  -0.388,  0.234,  0.777, 5,  18.000,-59.100,-150.150,huangy-incar01
77925.84283, 3,  -2.929,  2.311,  9.115,huangy-incar01
77925.86294, 3,  -2.620,  2.680,  9.034,huangy-incar01
77925.88305, 3,  -1.514,  2.807,  9.132, 4,   0.060,  0.387,  0.571, 5,  18.750,-59.100,-147.600,huangy-incar01
77925.90316, 3,  -0.307,  2.852,  9.278,huangy-incar01
77925.92327, 3,   0.290,  3.205,  8.565,huangy-incar01
77925.94337, 3,  -0.041,  3.396,  6.898, 4,  -0.317,  0.105,  0.791, 5,  21.150,-62.400,-146.700,huangy-incar01
77925.96348, 3,  -0.656,  3.626,  5.293,huangy-incar01
77925.98359, 3,  -1.099,  3.839,  4.601,huangy-incar01
77926.00370, 3,  -1.171,  3.784,  5.099, 4,   0.188,  0.044,  0.494,huangy-incar01
77926.02381, 3,  -0.721,  3.554,  6.428,huangy-incar01
77926.04392, 3,  -0.012,  3.643,  7.487,huangy-incar01
77926.06403, 3,   0.247,  3.715,  7.774, 4,  -0.220,  0.136,  0.434, 5,  22.050,-61.500,-147.300,huangy-incar01
77926.08414, 3,  -0.225,  3.775,  7.863,huangy-incar01
77926.10425, 3,  -0.726,  4.151,  8.471,huangy-incar01
77926.12435, 3,  -1.047,  4.728,  9.616, 4,  -0.161,  0.189,  0.349, 5,  21.750,-62.550,-146.100,huangy-incar01
77926.14446, 3,  -0.730,  5.231, 10.385,huangy-incar01
77926.16457, 3,  -0.436,  5.384, 10.402,huangy-incar01
77926.18468, 3,  -0.723,  5.628, 10.114, 4,  -0.215, -0.256, -0.064, 5,  20.850,-62.400,-146.700,huangy-incar01
77926.20479, 3,  -1.209,  5.772, 10.979,huangy-incar01
77926.22490, 3,  -1.938,  5.662, 12.912,huangy-incar01
77926.24501, 3,  -1.892,  5.492, 13.546, 4,   0.069, -0.035, -0.233, 5,  19.950,-61.800,-147.000,huangy-incar01
77926.26512, 3,  -1.332,  5.350, 12.140,huangy-incar01
77926.28523, 3,  -0.798,  5.065, 10.172,huangy-incar01
77926.30533, 3,  -0.558,  4.483,  8.862, 4,   0.480, -0.322, -0.380, 5,  20.700,-62.550,-147.300,huangy-incar01
77926.32544, 3,  -0.204,  4.014,  8.510,huangy-incar01
77926.34555, 3,   0.309,  3.638,  9.254,huangy-incar01
77926.36566, 3,   0.599,  3.267, 10.320, 4,   0.870, -0.001, -0.234, 5,  21.750,-64.350,-146.550,huangy-incar01
77926.38577, 3,   0.651,  3.118, 10.253,huangy-incar01
77926.40588, 3,   0.240,  3.025,  9.266,huangy-incar01
77926.42599, 3,  -0.740,  3.025,  8.502, 4,   0.017, -0.068, -0.117, 5,  19.800,-63.150,-148.050,huangy-incar01
77926.44610, 3,  -1.475,  3.188,  8.605,huangy-incar01
77926.46621, 3,  -1.209,  3.205,  8.998,huangy-incar01
77926.48631, 3,  -0.515,  2.932,  8.790, 4,   0.117,  0.078, -0.215, 5,  20.850,-63.450,-146.250,huangy-incar01
